customer_id,signup_date,region,age_group,subscription_type,monthly_revenue,tenure_months,monthly_login_count,average_session_time_minutes,features_used,last_login_days_ago,complaint_count,response_time_hours,resolution_time_hours,customer_satisfaction_score,churn
10001,2023-01-31,London,60+,Professional,79,35,19.666666666666668,28.12442737593336,5.083333333333333,29.666666666666668,0.0,0.0,0.0,10.0,0
10002,2023-12-30,Leeds,18-25,Professional,79,24,14.583333333333334,24.804341647660777,5.833333333333333,34.166666666666664,2.0,13.014601156472413,56.08532170466094,9.0,0
10003,2022-05-10,Bristol,26-35,Basic,29,44,14.333333333333334,24.19261780526088,4.916666666666667,30.25,1.0,4.425014238998591,6.19270896093955,7.0,0
10004,2023-07-18,London,18-25,Basic,29,29,17.083333333333332,22.67442861741227,5.416666666666667,26.58333333333333,0.0,0.0,0.0,10.0,0
10005,2023-02-04,Manchester,60+,Basic,29,35,10.333333333333334,24.05241362023624,4.5,28.08333333333333,3.0,22.489548695459973,82.14436665753126,9.0,0
10006,2022-12-31,Bristol,26-35,Enterprise,199,36,12.5,23.249078804187985,4.583333333333333,26.166666666666668,6.0,19.815436384140792,48.37572093347175,5.5,0
10007,2024-09-20,Bristol,18-25,Enterprise,199,15,16.5,27.55298145090328,5.666666666666667,35.666666666666664,0.0,0.0,0.0,10.0,0
10008,2022-11-10,London,46-60,Basic,29,38,17.083333333333332,25.83524790988048,4.833333333333333,30.166666666666668,4.0,16.224651783698935,27.385023718317875,7.5,0
10009,2024-06-26,Birmingham,36-45,Enterprise,199,18,18.666666666666668,26.23140288857492,5.166666666666667,23.75,3.0,11.136249486807014,99.30334285672514,8.5,0
10010,2020-05-01,London,36-45,Basic,29,69,10.416666666666666,27.782052803256715,5.0,33.166666666666664,2.0,19.42057150712143,12.943304762609342,6.0,0
10011,2021-04-11,London,60+,Professional,79,57,10.5,28.168095624850576,5.0,29.08333333333333,2.0,38.82259988755739,61.83694973568569,6.0,0
10012,2023-05-23,Glasgow,26-35,Enterprise,199,31,17.333333333333332,22.20373082210901,4.833333333333333,25.0,0.0,0.0,0.0,10.0,0
10013,2020-11-26,Bristol,26-35,Basic,29,62,17.583333333333332,22.178962806900863,4.833333333333333,35.833333333333336,11.0,17.156129518986123,74.86532319105838,5.2,0
10014,2024-01-22,Leeds,36-45,Professional,79,23,4.0,31.030780062797074,1.0,96.0,0.0,0.0,0.0,10.0,1
10015,2020-03-28,London,18-25,Basic,29,70,17.083333333333332,23.36414240147305,4.666666666666667,26.5,2.0,16.548854108841375,34.18203879517375,9.5,0
10016,2023-10-28,Bristol,26-35,Basic,29,26,13.5,24.520852115150912,5.666666666666667,21.916666666666668,3.0,27.388483329022588,37.03938245884467,7.0,0
10017,2023-01-28,Manchester,46-60,Professional,79,35,16.166666666666668,28.21046355274069,4.0,30.25,2.0,32.79079056077764,87.09416039036878,7.0,0
10018,2022-05-21,Manchester,46-60,Enterprise,199,44,16.583333333333332,22.64811455018508,5.333333333333333,32.583333333333336,0.0,0.0,0.0,10.0,0
10019,2024-08-14,Birmingham,26-35,Professional,79,16,12.583333333333334,24.69621701178167,4.916666666666667,27.25,0.0,0.0,0.0,10.0,0
10020,2020-05-10,London,26-35,Enterprise,199,68,17.833333333333332,25.90749170485358,5.916666666666667,30.25,1.0,44.37499224185645,72.54185426920452,1.0,0
10021,2024-08-12,Leeds,36-45,Enterprise,199,16,3.0,24.62009850969521,1.0,57.0,5.0,42.08628047472209,67.30669839427968,6.0,1
10022,2023-08-25,Birmingham,60+,Basic,29,28,11.0,23.254900191961703,4.333333333333333,20.25,8.0,17.772775740058457,59.09438828460178,4.666666666666667,1
10023,2022-02-08,London,36-45,Basic,29,47,15.5,21.45919889360084,5.833333333333333,30.08333333333333,0.0,0.0,0.0,10.0,0
10024,2020-12-09,London,60+,Professional,79,61,10.916666666666666,19.18105367698835,5.583333333333333,31.916666666666668,0.0,0.0,0.0,10.0,0
10025,2024-02-24,London,46-60,Professional,79,22,10.583333333333334,26.97786458248088,5.25,28.83333333333333,2.0,26.90227517814899,52.6786799672855,7.0,0
10026,2023-12-08,London,60+,Basic,29,25,13.0,28.76891182046231,6.75,28.0,3.0,5.770046161708506,6.537169339379275,10.0,0
10027,2022-03-16,Birmingham,36-45,Enterprise,199,46,12.583333333333334,28.06953853642183,4.833333333333333,33.833333333333336,5.0,19.165447030934523,48.78424442340042,3.333333333333333,0
10028,2021-01-20,Bristol,26-35,Professional,79,60,12.583333333333334,26.31225825570357,4.666666666666667,18.08333333333333,9.0,10.163458976325536,36.23078027941269,3.0,1
10029,2023-04-30,London,60+,Basic,29,32,17.916666666666668,30.051849363686344,5.5,27.25,3.0,15.343656125337112,14.369784768204529,9.0,0
10030,2022-08-13,London,36-45,Professional,79,41,18.58333333333333,22.75293853453064,5.333333333333333,20.75,3.0,25.615692865558664,90.73858597858448,8.0,0
10031,2020-10-03,Birmingham,46-60,Basic,29,63,14.0,26.975729393824437,4.833333333333333,29.83333333333333,0.0,0.0,0.0,10.0,0
10032,2023-03-30,Bristol,60+,Professional,79,33,16.583333333333332,27.792228041160055,3.583333333333333,35.75,12.0,24.709994936514462,85.06800420681883,4.2,1
10033,2021-04-04,Manchester,46-60,Enterprise,199,57,13.083333333333334,25.095962319334788,3.9166666666666665,24.166666666666668,3.0,33.79082470970228,100.41807602093732,7.0,0
10034,2023-08-30,Manchester,46-60,Enterprise,199,28,2.0,23.714685453221605,1.0,119.0,3.0,20.137094170704927,36.78879006641225,1.0,1
10035,2020-01-22,Birmingham,18-25,Basic,29,72,14.25,26.0607844447877,4.833333333333333,28.08333333333333,3.0,31.987661781783064,89.9564595049905,1.0,0
10036,2020-09-09,London,60+,Professional,79,64,17.833333333333332,23.210248995138915,5.5,29.916666666666668,4.0,30.77116935316752,24.74091147884124,9.0,0
10037,2022-01-17,London,36-45,Professional,79,48,19.08333333333333,29.455595231297337,6.0,30.25,0.0,0.0,0.0,10.0,0
10038,2022-05-06,Leeds,60+,Basic,29,44,9.75,25.147513432588703,4.666666666666667,26.08333333333333,0.0,0.0,0.0,10.0,0
10039,2024-05-03,Birmingham,60+,Basic,29,20,14.25,24.648528232154643,5.75,30.0,3.0,29.92778454633488,99.50206939088824,8.0,0
10040,2021-04-19,Birmingham,46-60,Professional,79,57,19.33333333333333,22.38432250764332,4.416666666666667,27.916666666666668,2.0,43.33571806368565,33.97003907556561,3.0,0
